sample_id,group,value,unit
s001,control,10.2,arbitrary_units
s002,control,11.1,arbitrary_units
s003,control,9.8,arbitrary_units
s004,control,10.5,arbitrary_units
s005,control,10.9,arbitrary_units
s006,control,11.0,arbitrary_units
s007,control,9.9,arbitrary_units
s008,control,10.4,arbitrary_units
s009,control,11.3,arbitrary_units
s010,control,10.7,arbitrary_units
s011,treated,12.1,arbitrary_units
s012,treated,11.7,arbitrary_units
s013,treated,12.4,arbitrary_units
s014,treated,11.9,arbitrary_units
s015,treated,12.0,arbitrary_units
s016,treated,12.6,arbitrary_units
s017,treated,11.8,arbitrary_units
s018,treated,12.3,arbitrary_units
