year,milestone,domain,notes
1543,Vesalian anatomy,anatomy,Modern anatomical observation and direct dissection
1628,Harvey circulation,physiology,Circulation as physiological mechanism
1665,Hooke micrographia,microscopy,Microscopic observation and cell terminology
1670,Leeuwenhoek microorganisms,microbiology,Observation of microscopic life
1735,Linnaean classification,taxonomy,Systematic biological naming and ordering
1859,Darwin origin,evolution,Common descent and natural selection
1866,Mendel inheritance,genetics,Formal inheritance patterns
1838,Schleiden cell theory,cell biology,Cellular organization in plants
1839,Schwann cell theory,cell biology,Cellular organization across animals and plants
1855,Virchow cellular pathology,cell biology,Cells arise from cells and pathology becomes cellular
1900,Rediscovery of Mendel,genetics,Modern genetics accelerates
1930,Population genetics,quantitative biology,Mathematical evolutionary synthesis
1953,DNA double helix,molecular biology,Molecular structure of heredity
1977,DNA sequencing,molecular biology,Sequence-based molecular biology
1990,Human Genome Project,genomics,Large-scale genomic infrastructure
2000,Systems biology expansion,systems biology,Networks data and multi-scale biological modeling
