observation_id,site,event_date,observer,method,species,count
1,site_A,2026-04-01,field_team,transect,sp1,12
2,site_A,2026-04-01,field_team,transect,sp2,8
3,site_A,2026-04-01,field_team,transect,sp4,5
4,site_A,2026-04-01,field_team,transect,sp5,3
5,site_B,2026-04-02,field_team,transect,sp1,4
6,site_B,2026-04-02,field_team,transect,sp2,10
7,site_B,2026-04-02,field_team,transect,sp3,6
8,site_B,2026-04-02,field_team,transect,sp5,2
9,site_C,2026-04-03,field_team,transect,sp2,2
10,site_C,2026-04-03,field_team,transect,sp3,9
11,site_C,2026-04-03,field_team,transect,sp4,7
12,site_C,2026-04-03,field_team,transect,sp5,8
13,site_D,2026-04-04,field_team,transect,sp1,6
14,site_D,2026-04-04,field_team,transect,sp2,1
15,site_D,2026-04-04,field_team,transect,sp3,3
16,site_D,2026-04-04,field_team,transect,sp4,12
17,site_D,2026-04-04,field_team,transect,sp5,4
