sample_id,immune_score,metabolic_score,morphology_score,stress_response_score,sequencing_depth
S001,0.81,0.20,0.78,0.73,42000000
S002,0.77,0.25,0.74,0.70,40500000
S003,0.66,0.34,0.62,0.61,39000000
S004,0.59,0.39,0.57,0.58,38000000
S005,0.45,0.55,0.49,0.44,41000000
S006,0.41,0.61,0.44,0.40,40000000
S007,0.28,0.70,0.31,0.34,39500000
S008,0.25,0.73,0.29,0.31,38500000
S009,0.73,0.28,0.71,0.68,43000000
S010,0.69,0.32,0.67,0.65,41500000
S011,0.36,0.66,0.37,0.39,39700000
S012,0.31,0.69,0.34,0.35,39200000
