site_id,temperature,precipitation,soil_quality,connectivity,disturbance,land_use_pressure,occurrence
S1,18.1,850,0.72,0.80,0.20,0.25,1
S2,19.4,910,0.81,0.74,0.24,0.30,1
S3,16.2,780,0.60,0.55,0.45,0.48,1
S4,14.8,620,0.52,0.40,0.61,0.60,0
S5,20.0,990,0.88,0.89,0.18,0.18,1
S6,21.3,1020,0.91,0.92,0.15,0.16,1
S7,15.5,700,0.56,0.46,0.52,0.55,0
S8,17.8,840,0.73,0.70,0.31,0.35,1
S9,13.9,590,0.48,0.33,0.70,0.68,0
S10,22.1,1100,0.95,0.96,0.12,0.10,1
S11,18.9,930,0.84,0.83,0.22,0.21,1
S12,16.7,760,0.62,0.58,0.41,0.44,0
