sample_id,treatment,tissue,batch_id,instrument_id,value,unit,qc_flag
sample_01,control,liver,batch_01,instrument_A,10.2,mmol/L,pass
sample_02,control,liver,batch_01,instrument_A,10.5,mmol/L,pass
sample_03,control,liver,batch_01,instrument_A,10.1,mmol/L,pass
sample_04,control,liver,batch_01,instrument_A,10.4,mmol/L,pass
sample_05,control,liver,batch_02,instrument_A,10.3,mmol/L,pass
sample_06,control,liver,batch_02,instrument_A,10.6,mmol/L,pass
sample_07,treated,liver,batch_02,instrument_A,12.1,mmol/L,pass
sample_08,treated,liver,batch_02,instrument_A,12.4,mmol/L,pass
sample_09,treated,liver,batch_03,instrument_B,11.9,mmol/L,pass
sample_10,treated,liver,batch_03,instrument_B,12.8,mmol/L,review
sample_11,treated,liver,batch_03,instrument_B,,mmol/L,fail
sample_12,treated,liver,batch_03,instrument_B,12.5,mmol/L,pass
